Timestamp,What is your age?,What is your gender?,What is your sexuality?,Preferred state of your partner,Financial status of your partner,Communication,Emotional Intelligence,Listening Skills,Looks,Fashion sense,Fitness,Confidence,Sense of Humor,Kindness,Open-mindedness,Loyalty,Generosity,Selfless,Honesty
3/8/2024 10:16:47,25,Male,Straight as an arrow,Tamil Nadu,3,4,4,4,4,4,5,5,5,5,5,5,4,4,5
3/8/2024 10:17:21,24,Male,Others,Tamil Nadu,3,4,4,4,2,3,3,4,5,5,4,5,5,4,
3/8/2024 10:21:46,25,Male,Straight as an arrow,Tamil Nadu,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5
3/8/2024 10:26:40,25,Male,Straight as an arrow,Tamil Nadu,4,4,5,5,4,3,4,4,5,4,4,5,4,4,4
3/8/2024 10:30:47,24,Female,Straight as an arrow,Tamil Nadu,3,4,5,5,3,4,4,5,4,5,5,5,4,2,5
3/8/2024 10:32:57,24,Male,Straight as an arrow,Tamil Nadu,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/8/2024 10:45:55,24,Male,Straight as an arrow,Tamil Nadu,4,4,4,5,3,3,3,5,5,5,5,5,5,4,5
3/8/2024 10:55:50,22,Female,Straight as an arrow,Tamil Nadu,3,4,5,5,4,3,5,3,5,5,4,5,3,3,5
3/8/2024 11:11:05,23,Male,Straight as an arrow,Tamil Nadu,1,4,4,4,3,1,1,4,3,5,5,5,4,1,4
3/8/2024 11:11:32,24,Male,Straight as an arrow,Tamil Nadu,2,5,4,5,4,4,5,5,5,5,5,5,5,5,5
3/8/2024 11:20:06,24,Male,Straight as an arrow,Tamil Nadu,3,5,5,5,3,4,5,4,5,4,5,5,3,4,3
3/8/2024 11:31:26,24,Male,Straight as an arrow,Tamil Nadu,1,3,3,4,5,4,4,4,3,4,5,5,4,3,5
3/8/2024 11:36:11,22,Male,Straight as an arrow,Tamil Nadu,3,3,4,5,3,2,4,5,5,5,4,5,5,3,5
3/8/2024 11:36:23,25,Female,Straight as an arrow,Karnataka,3,4,4,5,3,3,3,5,4,4,4,5,4,3,4
3/8/2024 11:49:44,24,Male,Straight as an arrow,Tamil Nadu,4,4,4,3,3,3,4,5,4,4,4,4,3,3,4
3/8/2024 11:58:43,24,Male,Straight as an arrow,Tamil Nadu,1,3,4,5,4,4,3,5,4,5,5,5,4,4,5
3/8/2024 12:09:55,24,Male,Straight as an arrow,Tamil Nadu,3,4,4,4,1,1,3,4,5,5,5,5,3,3,3
3/8/2024 12:17:18,24,Male,Straight as an arrow,Kerala,1,4,5,3,4,2,4,4,5,3,5,5,3,3,5
3/8/2024 13:00:28,26,Male,Straight as an arrow,,1,4,4,4,3,3,3,4,3,5,3,5,3,4,5
3/8/2024 13:26:17,22,Female,Straight as an arrow,Telangana,4,3,4,5,5,4,3,4,5,4,4,5,1,3,5
3/8/2024 14:31:05,25,Female,Straight as an arrow,Tamil Nadu,3,5,5,5,3,2,4,3,4,5,5,5,3,2,5
3/8/2024 16:03:02,20,Female,Straight as an arrow,Tamil Nadu,4,5,5,4,4,4,3,5,5,4,5,5,2,3,5
3/8/2024 17:09:54,23,Female,Straight as an arrow,Tamil Nadu,3,4,4,4,2,2,3,5,5,5,5,5,4,4,5
3/8/2024 18:21:14,23,Female,Straight as an arrow,Tamil Nadu,4,4,4,4,2,3,3,4,4,4,4,4,4,4,4
3/8/2024 18:29:49,24,Male,Straight as an arrow,Tamil Nadu,4,4,1,5,4,1,3,4,5,5,4,5,5,5,5
3/8/2024 18:52:31,24,Male,Straight as an arrow,Karnataka,1,5,4,3,3,4,5,3,5,5,5,4,3,5,5
3/8/2024 20:11:10,24,Female,Straight as an arrow,Tamil Nadu,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5
3/8/2024 20:32:46,19,Male,Straight as an arrow,,2,4,4,5,3,2,4,5,5,5,4,4,4,4,4
3/8/2024 20:34:26,28,Male,Straight as an arrow,Gujarat,2,2,4,4,4,2,3,2,4,5,5,5,4,4,5
3/8/2024 20:56:49,24,Male,Straight as an arrow,Tamil Nadu,1,3,5,3,4,5,4,5,5,5,5,3,4,5,3
3/8/2024 21:24:44,23,Male,Straight as an arrow,Tamil Nadu,3,5,5,5,3,3,3,3,3,3,3,5,3,3,5
3/8/2024 21:35:15,20,Female,Straight as an arrow,Maharashtra,3,5,4,5,5,4,3,5,4,5,5,4,2,2,5
3/8/2024 21:41:29,23,Male,Straight as an arrow,Tamil Nadu,1,5,5,5,3,5,4,4,4,5,3,5,4,2,5
3/8/2024 21:56:31,24,Female,Straight as an arrow,Uttarakhand,5,5,5,5,3,3,3,4,3,5,5,5,5,5,5
3/8/2024 22:17:22,30,Female,Others,Chhattisgarh,2,4,3,4,3,2,3,4,5,3,5,3,2,1,4
3/8/2024 22:25:26,20,Male,Straight as an arrow,Maharashtra,1,5,5,5,4,1,3,3,5,5,4,5,5,5,5
3/8/2024 23:15:18,26,Female,Others,,2,5,4,5,2,2,3,3,4,5,5,5,4,5,4
3/9/2024 0:21:05,23,Female,Straight as an arrow,Goa,4,4,5,5,4,4,5,4,4,5,4,5,4,3,4
3/9/2024 1:31:00,23,Female,Straight as an arrow,Punjab,3,5,5,5,3,3,4,3,3,5,5,5,5,4,5
3/9/2024 9:44:21,24,Male,Straight as an arrow,Karnataka,5,3,5,3,4,4,5,3,4,5,5,5,5,3,5
3/9/2024 10:50:10,23,Female,Straight as an arrow,Maharashtra,3,4,5,5,4,4,4,4,4,5,5,5,5,4,5
3/9/2024 13:41:34,20,Female,Straight as an arrow,Punjab,3,5,5,5,4,5,2,4,5,5,5,5,3,4,5
3/10/2024 19:49:06,24,Male,Straight as an arrow,Andhra Pradesh,3,5,4,4,3,4,3,5,3,4,3,5,5,3,5
3/11/2024 0:37:43,20,Female,Straight as an arrow,Tamil Nadu,4,5,4,3,3,3,4,5,4,3,3,5,4,3,3
3/11/2024 16:11:39,21,Female,Straight as an arrow,Punjab,5,4,5,4,4,5,4,5,4,5,5,5,5,4,5